USERID,TEXT,DATE,COORD
6.05E+17,Apologies in advance for the flood of sickening instagrams in the coming days. @ Four Seasons Resort‚Ä¶ https://t.co/Zb6FPuLfIB,Sat May 30 04:12:32 +0000 2015,"[20.6808,-156.442448]"
6.05E+17,"First flood forecast came hours too late: The Blanco River rises out of underground springs in Kendall County,‚Ä¶ http://t.co/MTXrU7pLeM",Sat May 30 04:19:06 +0000 2015,"[30.269605,-97.743617]"
6.05E+17,Astros collect food for flood victims http://t.co/bpk7rXFsWu,Sat May 30 04:47:21 +0000 2015,"[29.7579,-95.3619]"
6.05E+17,Obama signs disaster declaration to help flood victims: President Obama has ordered federal aid to help recovery‚Ä¶ http://t.co/u39NADsGKz,Sat May 30 04:50:04 +0000 2015,"[30.269605,-97.743617]"
6.05E+17,@RJRamoss flood ka na? Pansinin mo na kasi ako.,Sat May 30 04:50:05 +0000 2015,"[8.738258,124.782452]"
6.05E+17,Astros collect food for flood victims http://t.co/zKyGIzzcHI,Sat May 30 04:52:45 +0000 2015,"[29.749701,-95.346397]"
6.05E+17,"Ngmg banjir kanal barat aja lama lu tong ""@AsliSemarang: beib, don‚Äôt forget to meet me at west flood channel, tonite..""",Sat May 30 04:53:33 +0000 2015,"[-7.549725,110.680705]"
6.05E+17,Yearly GIFT flood waters wash out 2 sea #droughtshaming #CaliforniaDrought Collect Urban STORMDRAIN overflow in deep underground reservoirs,Sat May 30 05:04:15 +0000 2015,"[32.816267,-117.217792]"
6.05E+17,Sorry guys kung napa-flood ng selfie ko ang newsfeed nyo. PwEde nyo naman ako iunfriend kung mauumay‚Ä¶ https://t.co/fck1AMF8Jz,Sat May 30 05:14:34 +0000 2015,"[14.410691,120.932426]"
6.05E+17,@MicoRillera no beh i lost my phone mga few days before you left :-( hahahhah message me your number flood kita ‚ô° jk cheret proud of u _üòõ,Sat May 30 05:33:18 +0000 2015,"[14.578421,121.024457]"
6.05E+17,A friend from TX is going insane with flood..i need to tell our version of flood here to keep him calm lol and it worked,Sat May 30 05:39:34 +0000 2015,"[14.714928,120.967186]"
6.05E+17,MLB: Houston Astros to host food drive to assist flood victims http://t.co/lOBoAIr3yW,Sat May 30 05:46:57 +0000 2015,"[29.7579,-95.3619]"
6.05E+17,MLB: Houston Astros to host food drive to assist flood victims http://t.co/0xu56qdFPk,Sat May 30 05:51:58 +0000 2015,"[29.749701,-95.346397]"
6.05E+17,Buffalo Bayou Park affected by high rising flood waters http://t.co/TUQnj5dcO7,Sat May 30 05:53:19 +0000 2015,"[29.6542,-95.149696]"
6.05E+17,Buffalo Bayou Park affected by high rising flood waters http://t.co/O5h987QN2R,Sat May 30 05:54:20 +0000 2015,"[29.7549,-95.415703]"
6.05E+17,Me and my sister keep this #LANE shit lit every where we go nigga _üíØ_üíØ_üíØ_üíØ_üíØ @youknowjo_ we fena flood these states #Uva,Sat May 30 05:55:49 +0000 2015,"[41.872814,-87.689696]"
6.05E+17,Buffalo Bayou Park affected by high rising flood waters http://t.co/mGypv4umYu,Sat May 30 05:58:24 +0000 2015,"[29.719,-95.421402]"
6.05E+17,ffloodlikes ka para flood mo din sya punyemas_üòí,Sat May 30 06:08:16 +0000 2015,"[14.547758,121.00375]"
6.05E+17,MLB: Houston Astros to host food drive to assist flood victims http://t.co/FYtwnavqlx,Sat May 30 06:17:11 +0000 2015,"[29.7579,-95.3619]"
6.05E+17,MLB: Houston Astros to host food drive to assist flood victims http://t.co/XWgTyf1tuL,Sat May 30 06:22:33 +0000 2015,"[29.749701,-95.346397]"
6.05E+17,Volunteers search for missing after Central Texas flood: A handful of volunteers trudged along the muddy and‚Ä¶ http://t.co/rzhv6kUN75,Sat May 30 06:41:34 +0000 2015,"[35.22484,-80.840793]"
6.05E+17,Volunteers search for missing after Central Texas flood: A handful of volunteers trudged along the muddy and‚Ä¶ http://t.co/YBGE5AvRAP,Sat May 30 06:41:35 +0000 2015,"[42.356118,-71.055252]"
6.05E+17,Volunteers search for missing after Central Texas flood http://t.co/sIJ13HI4uc #FOX7Austin http://t.co/SXuCCH2T6D,Sat May 30 06:48:09 +0000 2015,"[30.271319,-97.740383]"
6.05E+17,Volunteers search for missing after Central Texas flood: A handful of volunteers trudged along the muddy and‚Ä¶ http://t.co/HuS3m6cw4L,Sat May 30 06:58:45 +0000 2015,"[41.888046,-87.626267]"
6.05E+17,@iamsofiaandres: only georgina wilson can flood my timeline with her face such a _üëë SofiaHomiesLovesSofia @SofiaHomiesOFC @iamsofiaandres,Sat May 30 07:18:48 +0000 2015,"[13.150154,123.719793]"
6.05E+17,Top link: Volunteers search for missing after Central Texas flood - http://t.co/zsjnGgP6IM http://t.co/Q6nJz4ko5T #prebreak,Sat May 30 07:28:40 +0000 2015,"[36.207715,-115.116806]"
6.05E+17,(i'll flood your feed _üòÇ‚úå_üèªÔ_è) @ Sofitel Philippine Plaza Manila https://t.co/j8fAAUaOAj,Sat May 30 07:47:05 +0000 2015,"[14.552923,120.980391]"
