Time,Earthquake,Flood
1,1279,1955
2,1426,1941
3,869,1951
4,518,1882
5,628,1901
6,585,1918
7,491,1891
8,442,1881
9,701,1918
10,1192,2048
11,1083,1928
12,308,1872
13,0,1836
14,0,1836
15,2249,1925
16,0,1836
17,0,1841
18,215,2284
19,4147,2174
20,5307,1999
21,2012,1909
22,1267,1974
23,2746,2078
24,1400,1975
