USERID,TEXT,DATE,COORD
6.04E+17,Felt #earthquake M4.0 strikes 12 km NW of #Kathmandu (#Nepal) 14 min ago. Please report to: http://t.co/68WXspMvLb http://t.co/4jPSnSK8E3,Fri May 29 20:21:03 +0000 2015,"[27.75,85.21]"
6.04E+17,This is the 10th felt #earthquake in Nepal in the last 63 hours http://t.co/OSr2jaub9Y,Fri May 29 20:21:05 +0000 2015,"[27.75,85.21]"
6.04E+17,M4.0 #earthquake strikes 12 km NW of #Kathmandu (#Nepal) 22 min ago. Read witnesses' stories &amp; provide yours: http://t.co/x2a1M30sIN,Fri May 29 20:29:34 +0000 2015,"[27.75,85.21]"
6.04E+17,#checkout #101east nepal's unsung hero ! my brother Jigme http://t.co/UXa3FrW5qe,Fri May 29 19:19:20 +0000 2015,"[40.772896,-73.955084]"
6.04E+17,Check out Climb for Nepal on Strava. Ready to tackle it? I am #strava #climbfornepal #climbeverest https://t.co/onZBAgQswN,Fri May 29 19:49:29 +0000 2015,"[53.29501,-2.098956]"
