USERID,TEXT,DATE,COORD
6.04427E+17,@ebro75 yes parts of the flood and its expected to rain more tonight and tomorrow. It took me two hours to get to work this morning.,Fri May 29 23:19:16 +0000 2015,"[32.884221,-96.626326]"
6.04427E+17,Guns are not an effective deterrent against flood damage.,Fri May 29 23:21:47 +0000 2015,"[49.198385,-122.782336]"
6.04436E+17,The irony! Statue of stevie ray Vaughn who wrote a song called Texas flood is standing tall above the Texas flood http://t.co/vy1Wr18nXW,Fri May 29 23:56:04 +0000 2015,"[37.970572,-122.036993]"
6.04437E+17,"After the flood: Free counseling, legal advice, where to donate, latest info on trash pick-up: While the worst of‚Ä¶ http://t.co/huu4jOI4z0",Sat May 30 00:00:08 +0000 2015,"[29.755238,-95.361844]"
6.04439E+17,flood _üòâ,Sat May 30 00:06:13 +0000 2015,"[14.547019,121.182279]"
6.04441E+17,Resource Center opens in Wimberley to aid flood victims http://t.co/g4F9xvbcHB #FOX7Austin http://t.co/hY2La4hAyR,Sat May 30 00:16:16 +0000 2015,"[30.271328,-97.740488]"
6.04442E+17,Anheuser-Busch brewery halts beer to bottle water for flood victims http://t.co/kJtUXlLiUO,Sat May 30 00:20:04 +0000 2015,"[26.350777,-80.069251]"
6.04446E+17,"In Dallas, Trinity River Suddenly Mighty -- And A Photo Op: The Trinity River in Dallas surged 12 feet above flood‚Ä¶ http://t.co/oMmSXyIs3S",Sat May 30 00:35:34 +0000 2015,"[32.727913,-97.31947]"
6.04446E+17,Resource Center opens in Wimberley to aid flood victims: Hays County is opening two resource centers for those‚Ä¶ http://t.co/RCvDOi1BzA,Sat May 30 00:35:36 +0000 2015,"[30.269605,-97.743617]"
6.04446E+17,"Crews use drones to search for flood victims: WIMBERLEY, Texas -- The search for victims has been a very long,‚Ä¶ http://t.co/BtBIF7J71q",Sat May 30 00:35:36 +0000 2015,"[29.429891,-98.486996]"
6.04446E+17,Tourist Travel To Wimberley Despite Flood Damage: The pictures coming out of Wimberley are telling.They show flood‚Ä¶ http://t.co/P8LgOdliHy,Sat May 30 00:35:39 +0000 2015,"[30.269605,-97.743617]"
6.04454E+17,Wastewater spilled into Shoal Creek during flood: A wastewater line failure during flooding Monday in Austin caused‚Ä¶ http://t.co/gwAAzYOxmy,Sat May 30 01:08:35 +0000 2015,"[30.269605,-97.743617]"
6.04455E+17,"Anyone want to go float the river? #trinityriver #flood #weather #dallas #texas @ Dallas, Texas https://t.co/pLzbMBgDpw",Sat May 30 01:12:10 +0000 2015,"[32.7833,-96.8]"
6.04457E+17,"Man in mourning after wife dies in flood: A woman on her way to work, days from retiring, according to her husband,‚Ä¶ http://t.co/YASfWzN270",Sat May 30 01:19:05 +0000 2015,"[29.755238,-95.361844]"
6.04461E+17,There's a flood in my basement,Sat May 30 01:35:44 +0000 2015,"[39.392945,-77.921746]"
6.04462E+17,After the flood there's always patio weather. Date night with the BFF. @ The Live Oak https://t.co/Yfqi9UShc8,Sat May 30 01:38:59 +0000 2015,"[32.730151,-97.333025]"
6.04463E+17,Tonight the #TrinityRiver has reached a flood stage it only achieves once every ten years or so. So‚Ä¶ https://t.co/XgsJ1cDSjT,Sat May 30 01:43:37 +0000 2015,"[32.780219,-96.821864]"
6.04466E+17,Nothing but Blue skies for miles. Survived my first Houston flooding! _üëç_üòÑ‚òÄÔ_è #houston #houstonflood‚Ä¶ https://t.co/SyRuq3iw26,Sat May 30 01:54:22 +0000 2015,"[29.761694,-95.379575]"
6.04466E+17,"Man, 73, identified as 5th Hays County flood victim: Officials in Hays County have identified the body of a man‚Ä¶ http://t.co/iJMikrDEbx",Sat May 30 01:55:34 +0000 2015,"[29.429891,-98.486996]"
6.0447E+17,Sobrang flood nito sa fb :3 di na ata ako kakasya. Hahahajk! :) Sorna stalker :3 Haha. Happy birthday pits xx @ScevenDCN,Sat May 30 02:10:09 +0000 2015,"[15.221766,120.608837]"
6.04473E+17,Totally worth the threat of a flood. Thank you for your absolutely raw &amp; charismatic love for our‚Ä¶ https://t.co/a3CLl2WmUh,Sat May 30 02:23:18 +0000 2015,"[40.480628,-79.72266]"
6.04474E+17,"More Memorial Day Weekend flood victims identified: The news some families had feared, confirmed. The body of‚Ä¶ http://t.co/pxnOLYefQu",Sat May 30 02:28:33 +0000 2015,"[29.429891,-98.486996]"
6.04474E+17,"More flood victims identified, 6 still missing: SAN ANTONIO - The news some families had feared, confirmed. The‚Ä¶ http://t.co/YPpJymBpTb",Sat May 30 02:28:33 +0000 2015,"[29.429891,-98.486996]"
6.04476E+17,@SpenceSebastian Sorry 4 your comp. probs Sebash.Thats what happens when 2many people love u &amp; flood u with messages.:)U r def loved_üíósweetie,Sat May 30 02:33:37 +0000 2015,"[21.303942,-157.852717]"
6.04478E+17,North Texan Killed In Flash Flooding Friday: A man died in flash flood waters in Mesquite Friday morning.Police say‚Ä¶ http://t.co/ggluTaXCSL,Sat May 30 02:44:04 +0000 2015,"[32.727913,-97.31947]"
6.04481E+17,Foi mal o flood astrol__gico a__ hahahahahah,Sat May 30 02:53:19 +0000 2015,"[-12.99301,-38.525952]"
6.04482E+17,"When flood comes, fish eats ants and when flood recedes, ants eat fish. Only time matters. Just hold on. God gives opportunity to every one.",Sat May 30 03:00:11 +0000 2015,"[19.429632,72.814423]"
6.04488E+17,New sport invented in Sienna Plantation. Water ball. #Brazosriver flood waters. http://t.co/1f0Hlh0HGA,Sat May 30 03:21:54 +0000 2015,"[33.986128,-118.401245]"
6.04488E+17,Our pitching facility and batting cages 1/2 submerged. #BrazosRiver flood waters. #SiennaPlantation. #thisreallysux http://t.co/OscbFihuCl,Sat May 30 03:23:51 +0000 2015,"[33.986226,-118.401252]"
6.04489E+17,FOX 7 Viewer hopes to help Taylor flood victim buy furniture http://t.co/oNNALFwmmY #FOX7Austin http://t.co/CZfygCaNcF,Sat May 30 03:25:34 +0000 2015,"[30.271328,-97.740488]"
6.04489E+17,Wimberley library saving muddy photos from flood debris http://t.co/lYGFomsVHu #FOX7Austin http://t.co/4SDLMG7OES,Sat May 30 03:25:35 +0000 2015,"[30.271328,-97.740488]"
6.04494E+17,FOX 7 Viewer hopes to help Taylor flood victim buy furniture: The Memorial Day storms brought floodwaters and‚Ä¶ http://t.co/WqZvWDk1kC,Sat May 30 03:46:34 +0000 2015,"[30.269605,-97.743617]"
6.04494E+17,Wimberley library saving muddy photos from flood debris: Volunteers are helping librarians save thousands of‚Ä¶ http://t.co/i1Fqd4UJR8,Sat May 30 03:46:35 +0000 2015,"[30.269605,-97.743617]"
6.04494E+17,"Day 1, more likely the flood victims.  _üòì_üòì @ Hutan Lipur Sg Congkak, Hulu Langat https://t.co/57lOZ7AQAl",Sat May 30 03:47:12 +0000 2015,"[3.198416,101.850681]"
6.045E+17,@iVinii_ para com o flood na Tl FLASH,Sat May 30 04:10:50 +0000 2015,"[-17.223755,-42.583576]"
6.04501E+17,Apologies in advance for the flood of sickening instagrams in the coming days. @ Four Seasons Resort‚Ä¶ https://t.co/Zb6FPuLfIB,Sat May 30 04:12:32 +0000 2015,"[20.6808,-156.442448]"
6.04502E+17,"First flood forecast came hours too late: The Blanco River rises out of underground springs in Kendall County,‚Ä¶ http://t.co/MTXrU7pLeM",Sat May 30 04:19:06 +0000 2015,"[30.269605,-97.743617]"
6.04509E+17,Astros collect food for flood victims http://t.co/bpk7rXFsWu,Sat May 30 04:47:21 +0000 2015,"[29.7579,-95.3619]"
6.0451E+17,Obama signs disaster declaration to help flood victims: President Obama has ordered federal aid to help recovery‚Ä¶ http://t.co/u39NADsGKz,Sat May 30 04:50:04 +0000 2015,"[30.269605,-97.743617]"
6.0451E+17,@RJRamoss flood ka na? Pansinin mo na kasi ako.,Sat May 30 04:50:05 +0000 2015,"[8.738258,124.782452]"
6.04511E+17,Astros collect food for flood victims http://t.co/zKyGIzzcHI,Sat May 30 04:52:45 +0000 2015,"[29.749701,-95.346397]"
6.04511E+17,"Ngmg banjir kanal barat aja lama lu tong ""@AsliSemarang: beib, don‚Äôt forget to meet me at west flood channel, tonite..""",Sat May 30 04:53:33 +0000 2015,"[-7.549725,110.680705]"
6.04514E+17,Yearly GIFT flood waters wash out 2 sea #droughtshaming #CaliforniaDrought Collect Urban STORMDRAIN overflow in deep underground reservoirs,Sat May 30 05:04:15 +0000 2015,"[32.816267,-117.217792]"
6.04516E+17,Sorry guys kung napa-flood ng selfie ko ang newsfeed nyo. PwEde nyo naman ako iunfriend kung mauumay‚Ä¶ https://t.co/fck1AMF8Jz,Sat May 30 05:14:34 +0000 2015,"[14.410691,120.932426]"
6.04521E+17,@MicoRillera no beh i lost my phone mga few days before you left :-( hahahhah message me your number flood kita ‚ô° jk cheret proud of u _üòõ,Sat May 30 05:33:18 +0000 2015,"[14.578421,121.024457]"
6.04523E+17,A friend from TX is going insane with flood..i need to tell our version of flood here to keep him calm lol and it worked,Sat May 30 05:39:34 +0000 2015,"[14.714928,120.967186]"
