Lat,Long
37.765136,122.419112
37.765129,122.419378
37.765119,122.419481
37.765100,122.419852
37.765083,122.420349
37.765045,122.420930
37.764992,122.421481
37.764980,122.421695
37.764993,122.421843
37.764986,122.422255
37.764975,122.422823
37.764939,122.423411
37.764902,122.424014
37.764853,122.424576
37.764826,122.424922
37.764796,122.425375
37.764782,122.425869
37.764768,122.426089
37.764766,122.426117
37.764723,122.426276
37.764681,122.426649
37.782012,122.404200
37.781574,122.404911
37.781055,122.405597
37.780479,122.406341
37.779996,122.406939
37.779459,122.407613
37.761344,122.406215
37.760556,122.406495
37.759732,122.406484
37.758910,122.406228
37.758182,122.405695
37.757676,122.405118
37.757039,122.404346
37.756335,122.403719
37.755503,122.403406
37.754665,122.403242
37.753837,122.403172
37.752986,122.403112
37.751266,122.403355
